Date,Close,ma5,ma20,ma60
2016-03-17,158.5,,,
2016-03-18,159.5,,,
2016-03-21,160.0,,,
2016-03-22,158.5,,,
2016-03-23,159.5,159.2,,
2016-03-24,158.5,159.2,,
2016-03-25,158.0,158.9,,
2016-03-28,159.0,158.7,,
2016-03-29,159.0,158.8,,
2016-03-30,161.5,159.2,,
2016-03-31,162.0,159.9,,
2016-04-01,158.5,160.0,,
2016-04-06,153.5,158.9,,
2016-04-07,154.5,158.0,,
2016-04-08,157.5,157.2,,
2016-04-11,158.5,156.5,,
2016-04-12,158.5,156.5,,
2016-04-13,161.5,158.1,,
2016-04-14,161.5,159.5,,
2016-04-15,159.5,159.9,158.875,
2016-04-18,158.0,159.8,158.85,
2016-04-19,157.5,159.6,158.75,
2016-04-20,154.0,158.1,158.45,
2016-04-21,157.0,157.2,158.375,
2016-04-22,156.5,156.6,158.225,
2016-04-25,157.5,156.5,158.175,
2016-04-26,158.0,156.6,158.175,
2016-04-27,156.5,157.1,158.05,
2016-04-28,153.0,156.3,157.75,
2016-04-29,150.0,155.0,157.175,
2016-05-03,147.5,153.0,156.45,
2016-05-04,147.0,150.8,155.875,
2016-05-05,147.5,149.0,155.575,
2016-05-06,148.0,148.0,155.25,
2016-05-09,147.5,147.5,154.75,
2016-05-10,147.0,147.4,154.175,
2016-05-11,147.0,147.4,153.6,
2016-05-12,146.0,147.1,152.825,
2016-05-13,144.0,146.3,151.95,
2016-05-16,144.5,145.7,151.2,
2016-05-17,147.0,145.7,150.65,
2016-05-18,147.0,145.7,150.125,
2016-05-19,147.0,145.9,149.775,
2016-05-20,148.5,146.8,149.35,
2016-05-23,154.0,148.7,149.225,
2016-05-24,151.0,149.5,148.9,
2016-05-25,154.5,151.0,148.725,
2016-05-26,155.0,152.6,148.65,
2016-05-27,156.5,154.2,148.825,
2016-05-30,157.0,154.8,149.175,
2016-05-31,156.5,155.9,149.625,
2016-06-01,159.0,156.8,150.225,
2016-06-02,159.0,157.6,150.8,
2016-06-03,160.5,158.4,151.425,
2016-06-06,161.0,159.2,152.1,
2016-06-07,162.0,160.3,152.85,
2016-06-08,165.5,161.6,153.775,
2016-06-13,162.0,162.2,154.575,
2016-06-14,162.0,162.5,155.475,
2016-06-15,163.0,162.9,156.4,155.49166666666667
2016-06-16,160.5,162.6,157.075,155.525
2016-06-17,163.0,162.1,157.875,155.58333333333334
2016-06-20,163.0,162.3,158.675,155.63333333333333
2016-06-21,165.5,163.0,159.525,155.75
2016-06-22,166.0,163.6,160.125,155.85833333333332
2016-06-23,164.0,164.3,160.775,155.95
2016-06-24,159.0,163.5,161.0,155.96666666666667
2016-06-27,155.5,162.0,161.025,155.90833333333333
2016-06-28,157.0,160.3,161.05,155.875
2016-06-29,159.0,158.9,161.15,155.83333333333334
2016-06-30,162.5,158.6,161.45,155.84166666666667
2016-07-01,166.0,160.0,161.8,155.96666666666667
2016-07-04,166.0,162.1,162.15,156.175
2016-07-05,164.0,163.5,162.325,156.33333333333334
2016-07-06,161.5,164.0,162.35,156.4
2016-07-07,164.5,164.4,162.475,156.5
2016-07-08,164.5,164.1,162.425,156.6
2016-07-11,170.0,164.9,162.825,156.74166666666667
2016-07-12,171.0,166.3,163.275,156.9
2016-07-13,168.5,167.7,163.55,157.05
2016-07-14,169.0,168.6,163.975,157.23333333333332
2016-07-15,169.5,169.6,164.3,157.43333333333334
2016-07-18,169.5,169.5,164.625,157.69166666666666
2016-07-19,170.5,169.4,164.875,157.91666666666666
2016-07-20,170.0,169.7,165.075,158.14166666666668
2016-07-21,172.0,170.3,165.475,158.38333333333333
2016-07-22,171.0,170.6,166.075,158.6
2016-07-25,171.5,171.0,166.875,158.85
2016-07-26,173.0,171.5,167.675,159.18333333333334
2016-07-27,175.0,172.5,168.475,159.6
2016-07-28,176.5,173.4,169.175,160.08333333333334
2016-07-29,172.5,173.7,169.5,160.50833333333333
2016-08-01,177.0,174.8,170.05,161.0
2016-08-02,176.0,175.4,170.65,161.46666666666667
2016-08-03,172.5,174.9,171.2,161.88333333333333
2016-08-04,174.5,174.5,171.7,162.34166666666667
2016-08-05,177.0,175.4,172.325,162.84166666666667
2016-08-08,178.0,175.6,172.725,163.375
2016-08-09,178.5,176.1,173.1,163.95
2016-08-10,179.5,177.5,173.65,164.53333333333333
2016-08-11,176.5,177.9,174.025,165.025
2016-08-12,177.5,178.0,174.425,165.53333333333333
2016-08-15,179.0,178.2,174.9,166.06666666666666
2016-08-16,175.5,177.6,175.15,166.51666666666668
2016-08-17,177.0,177.1,175.5,166.9
2016-08-18,176.0,177.0,175.7,167.31666666666666
2016-08-19,174.5,176.4,175.875,167.65
2016-08-22,172.5,175.1,175.925,167.94166666666666
2016-08-23,175.0,175.0,176.025,168.25
2016-08-24,173.5,174.3,175.95,168.525
